n,seconds
405,0.0003667
406,0.0003674
407,0.0003645
408,0.0003623
409,0.000365
410,0.0003178
411,0.000316
412,0.0003167
413,0.0003388
414,0.000325
415,0.0003493
416,0.000337
417,0.0003198
418,0.0003332
419,0.0003315
420,0.000326
421,0.0003375
422,0.0003305
423,0.0003377
424,0.0003355
425,0.00029
426,0.0002994
427,0.000298
428,0.0003016
429,0.0002882
430,0.0002989
431,0.0002967
432,0.0003053
433,0.0003005
434,0.0002876
435,0.0002969
436,0.0003052
437,0.000295
438,0.0002669
439,0.0002776
440,0.0002731
441,0.0002809
442,0.0002777
443,0.0002748
444,0.0002837
445,0.0002869
446,0.0002779
447,0.0002777
448,0.0002853
449,0.0002826
450,0.0002731
451,0.0002746
452,0.0003035
453,0.00026
454,0.0002568
455,0.0002647
456,0.0002656
457,0.0002601
458,0.0002647
459,0.0002615
460,0.0002672
461,0.0003349
462,0.0003163
463,0.0003183
464,0.0003085
465,0.0003218
466,0.000342
467,0.0002759
468,0.0002849
469,0.0003018
470,0.0002555
471,0.0002547
472,0.0002546
473,0.0002504
474,0.0002652
475,0.0002576
476,0.0002618
477,0.0002802
478,0.0002542
479,0.0002631
480,0.000263
481,0.0002608
482,0.0002624
483,0.0002993
484,0.0002704
485,0.000262
486,0.000273
487,0.0002684
488,0.0002682
489,0.0003011
490,0.0002714
491,0.0002659
492,0.0002916
493,0.0002762
494,0.0002783
495,0.0002687
496,0.0002707
497,0.0002606
498,0.0002732
499,0.0002653
500,0.0002664
501,0.0002728
502,0.0002776
503,0.000281
504,0.0002735
505,0.0002766
506,0.0002701
507,0.0002843
508,0.0002825
509,0.0002739
510,0.0003623
511,0.000364
512,0.0003411
513,0.0002807
514,0.0002823
515,0.0003258
516,0.0002884
517,0.0002921
518,0.0002877
519,0.0002937
520,0.0002789
521,0.0002844
522,0.0002786
523,0.0003368
524,0.0003306
525,0.0002832
526,0.0003262
527,0.0002928
528,0.0003325
529,0.0002843
530,0.0002833
531,0.000291
532,0.0002885
533,0.0002856
534,0.0002899
535,0.0003013
536,0.0003037
537,0.0003013
538,0.0002992
539,0.0003002
540,0.00029
541,0.0003051
542,0.0003019
543,0.0002903
544,0.0002904
545,0.0002971
546,0.0003113
547,0.0003044
548,0.0003057
549,0.000301
550,0.000318
551,0.0003035
552,0.000308
553,0.0003095
554,0.0004169
555,0.0003259
556,0.000306
557,0.0003505
558,0.0003041
559,0.0003254
560,0.0003102
561,0.0003031
562,0.0003127
563,0.0003068
564,0.0003426
565,0.0003076
566,0.0003108
567,0.0003114
568,0.000307
569,0.000322
570,0.0003115
571,0.0003231
572,0.0003211
573,0.0003259
574,0.0003598
575,0.0003211
576,0.0003172
577,0.0003235
578,0.0003157
579,0.0003262
580,0.0003217
581,0.0003309
582,0.0003189
583,0.0003219
584,0.0003244
585,0.0003204
586,0.0003182
587,0.0003242
588,0.0003298
589,0.0003245
590,0.0003298
591,0.000331
592,0.0003216
593,0.0003377
594,0.0003351
595,0.0005195
596,0.0004711
597,0.0004013
598,0.0003363
599,0.0003355
600,0.0003521
601,0.0003845
602,0.0004858
603,0.0003454
604,0.0003792
605,0.0003325
606,0.0003851
607,0.0003421
608,0.0003798
609,0.0003416
610,0.0003507
611,0.0003596
612,0.0003365
613,0.0003407
614,0.0003454
615,0.0003477
616,0.000342
617,0.0003691
618,0.0003486
619,0.0003626
620,0.0003531
621,0.00034
622,0.0003475
623,0.000336
624,0.0003492
625,0.0003467
626,0.0003684
627,0.0003605
628,0.0003661
629,0.0003625
630,0.0003855
631,0.0004365
632,0.0004055
633,0.0003819
634,0.0003769
635,0.0004278
636,0.0003806
637,0.0005546
638,0.0004258
639,0.000418
640,0.0004227
641,0.0003885
642,0.0004292
643,0.0003921
644,0.0004135
645,0.0003893
646,0.0004216
647,0.0003872
648,0.0004087
649,0.0003867
650,0.000422
651,0.0004059
652,0.0004318
653,0.0004114
654,0.0003993
655,0.0003853
656,0.000393
657,0.0003813
658,0.0004545
659,0.0005785
660,0.0004744
661,0.0004696
662,0.0006516
663,0.0005175
664,0.0004124
665,0.0004222
666,0.0004495
667,0.0004015
668,0.0004363
669,0.0004546
670,0.0004652
671,0.0004554
672,0.0005297
673,0.000517
674,0.0004079
675,0.0004528
676,0.0004164
677,0.0004161
