n,seconds
1,0.0000032
2,0.0000039
3,0.0000062
4,0.000011
5,0.0000255
6,0.0001236
7,0.0002701
8,0.0003568
9,0.0008432
10,0.0022439
11,0.0028807
12,0.0055743
13,0.0114586
14,0.0238138
15,0.058003
16,0.1433507
17,0.2442095
18,0.4813474
19,1.1109746
20,1.9311954
21,4.53157
22,9.5390252
